ZipCode,median_household_income_last_12,Year
95494,108542,2013
95497,57227,2013
95501,37598,2013
95503,46670,2013
95511,30188,2013
95514,26307,2013
95519,46923,2013
95521,35151,2013
95524,65000,2013
95525,53750,2013
95526,25750,2013
95527,23875,2013
95528,41875,2013
95531,38427,2013
95536,50745,2013
95537,50298,2013
95540,39161,2013
95542,41978,2013
95543,55653,2013
95545,82639,2013
95546,26818,2013
95547,52917,2013
95548,30927,2013
95549,56136,2013
95550,75491,2013
95551,47569,2013
95552,29625,2013
95553,27269,2013
95554,37868,2013
95555,28036,2013
95556,47419,2013
95558,29653,2013
95559,18542,2013
95560,28357,2013
95562,39240,2013
95563,40441,2013
95564,47361,2013
95565,51953,2013
95567,35288,2013
95568,50833,2013
95569,30750,2013
95570,41402,2013
95571,13824,2013
95573,27411,2013
95585,21890,2013
95587,,2013
95589,48750,2013
95595,32014,2013
95601,52162,2013
95602,61505,2013
95603,57114,2013
95604,,2013
95605,37487,2013
95606,80221,2013
95607,80069,2013
95608,54015,2013
95610,54563,2013
95612,56250,2013
95614,82738,2013
95615,47031,2013
95616,50795,2013
95618,80989,2013
95619,54221,2013
95620,72201,2013
95621,54549,2013
95623,64107,2013
95624,76652,2013
95625,73188,2013
95626,64650,2013
95627,64306,2013
95628,72232,2013
95629,63203,2013
95630,95251,2013
95631,62286,2013
95632,60853,2013
95633,63958,2013
95634,55357,2013
95635,80465,2013
95636,32365,2013
95637,76667,2013
95638,86995,2013
95639,48214,2013
95640,68375,2013
95641,34091,2013
95642,50938,2013
95645,47877,2013
95646,37813,2013
95648,74114,2013
95650,84819,2013
95651,52447,2013
95652,44531,2013
95653,37614,2013
95655,78345,2013
95658,62782,2013
95659,52083,2013
95660,43834,2013
95661,68927,2013
95662,68632,2013
95663,123281,2013
95664,84375,2013
95665,59018,2013
95666,54460,2013
95667,62981,2013
95668,87563,2013
95669,58917,2013
95670,58288,2013
95672,108000,2013
95673,57759,2013
95674,77375,2013
95675,31544,2013
95677,69983,2013
95678,63507,2013
95679,,2013
95680,,2013
95681,67813,2013
95682,78021,2013
95683,98438,2013
95684,48873,2013
95685,54881,2013
95686,39750,2013
95687,72575,2013
95688,81398,2013
95689,75740,2013
95690,59038,2013
95691,60905,2013
95692,64139,2013
95693,93258,2013
95694,64554,2013
95695,57733,2013
95697,28929,2013
95698,68167,2013
95699,21172,2013
95701,64167,2013
95703,81250,2013
95709,63990,2013
95713,66743,2013
95714,51683,2013
95715,60938,2013
95717,61667,2013
95720,47917,2013
95721,,2013
95722,73292,2013
95724,,2013
95726,57753,2013
95728,39211,2013
95735,45417,2013
95736,85655,2013
95742,93347,2013
95746,127637,2013
95747,84706,2013
95757,87795,2013
